design,adaptation_seconds,adaptation_blocks,calibration_seconds,calibration_blocks_per_motor,healthy_test_blocks,false_alarms,pooled_false_alarm_rate,pooled_far_wilson_lower,pooled_far_wilson_upper,max_motor_false_alarm_rate,mean_detection_rate,pooled_detection_rate,worst_motor_detection_rate,mean_lowest_two_detection_rate,mean_block_auroc
fixed_horizon,3.0,1,60.0,20,30,0,0.0,0.0,0.11351339317396873,0.0,0.9464285714285715,0.9464285714285714,0.9,1.0,0.9966666666666667
fixed_horizon,6.0,2,60.0,20,30,0,0.0,0.0,0.11351339317396873,0.0,0.9690476190476192,0.969047619047619,0.9160714285714285,1.0,0.9996428571428572
fixed_horizon,12.0,4,60.0,20,30,0,0.0,0.0,0.11351339317396873,0.0,0.9625,0.9625,0.9,1.0,0.999404761904762
fixed_horizon,24.0,8,60.0,20,30,0,0.0,0.0,0.11351339317396873,0.0,0.9494047619047619,0.9494047619047619,0.8696428571428572,1.0,0.9993452380952381
sequential,3.0,1,60.0,20,51,0,0.0,0.0,0.07004661989853139,0.0,0.9333333333333332,0.9333333333333333,0.8607142857142858,1.0,0.9938725490196078
sequential,6.0,2,60.0,20,48,0,0.0,0.0,0.07410012966611745,0.0,0.9696428571428571,0.9696428571428571,0.9160714285714285,1.0,0.9992559523809524
sequential,12.0,4,60.0,20,42,0,0.0,0.0,0.08379879086570388,0.0,0.9571428571428572,0.9571428571428572,0.9,1.0,0.9993197278911564
sequential,24.0,8,60.0,20,30,0,0.0,0.0,0.11351339317396873,0.0,0.9494047619047619,0.9494047619047619,0.8696428571428572,1.0,0.9993452380952381
