method,record_id,load_nm,fault_turns,fault_phase,blocks,alarms,any_alarm,first_alarm_block_id,first_alarm_start_seconds,first_alarm_stop_seconds,first_alarm_approx_rpm_min,first_alarm_approx_rpm_median,first_alarm_approx_rpm_max,rpm_source
log_euclidean_entity_covariance,external_dual_three_phase_flt5zu_load_25nm,25,5,u,8,2,True,6.0,30.0,33.0,1461.3343505859375,1642.8416137695312,1973.265380859375,"matching-load healthy record; approximate, not fault-record RPM"
log_euclidean_entity_covariance,external_dual_three_phase_flt5zu_load_30nm,30,5,u,8,1,True,7.0,33.0,36.0,1955.892578125,2214.129272460937,2649.19970703125,"matching-load healthy record; approximate, not fault-record RPM"
log_euclidean_entity_covariance,external_dual_three_phase_flt5zu_load_35nm,35,5,u,8,1,True,7.0,33.0,36.0,1970.25927734375,2214.38720703125,2649.217529296875,"matching-load healthy record; approximate, not fault-record RPM"
log_euclidean_entity_covariance,external_dual_three_phase_flt5zu_load_5nm,5,5,u,8,4,True,4.0,24.0,27.0,783.8638305664062,889.1197509765625,1081.240478515625,"matching-load healthy record; approximate, not fault-record RPM"
log_euclidean_entity_covariance,external_dual_three_phase_flt6zu_load_0nm,0,6,u,8,5,True,3.0,21.0,24.0,568.7266235351562,644.2317199707031,784.7748413085938,"matching-load healthy record; approximate, not fault-record RPM"
log_euclidean_entity_covariance,external_dual_three_phase_flt6zu_load_10nm,10,6,u,8,3,True,5.0,27.0,30.0,1079.2032470703125,1216.2323608398438,1462.3050537109375,"matching-load healthy record; approximate, not fault-record RPM"
log_euclidean_entity_covariance,external_dual_three_phase_flt6zu_load_15nm,15,6,u,8,2,True,6.0,30.0,33.0,1461.1129150390625,1641.7462158203125,1970.9315185546875,"matching-load healthy record; approximate, not fault-record RPM"
log_euclidean_entity_covariance,external_dual_three_phase_flt6zu_load_20nm,20,6,u,8,2,True,6.0,30.0,33.0,1460.3778076171875,1642.8471069335938,1973.0621337890625,"matching-load healthy record; approximate, not fault-record RPM"
log_euclidean_entity_covariance,external_dual_three_phase_flt6zu_load_25nm,25,6,u,8,2,True,6.0,30.0,33.0,1461.3343505859375,1642.8416137695312,1973.265380859375,"matching-load healthy record; approximate, not fault-record RPM"
log_euclidean_entity_covariance,external_dual_three_phase_flt6zu_load_30nm,30,6,u,8,2,True,6.0,30.0,33.0,1462.1236572265625,1642.8013916015625,1972.4547119140625,"matching-load healthy record; approximate, not fault-record RPM"
log_euclidean_entity_covariance,external_dual_three_phase_flt6zu_load_35nm,35,6,u,8,1,True,7.0,33.0,36.0,1970.25927734375,2214.38720703125,2649.217529296875,"matching-load healthy record; approximate, not fault-record RPM"
log_euclidean_entity_covariance,external_dual_three_phase_flt6zu_load_5nm,5,6,u,8,4,True,4.0,24.0,27.0,783.8638305664062,889.1197509765625,1081.240478515625,"matching-load healthy record; approximate, not fault-record RPM"
source_covariance,external_dual_three_phase_flt1zu_load_0nm,0,1,u,8,1,True,7.0,33.0,36.0,1971.613525390625,2213.8140869140625,2648.686279296875,"matching-load healthy record; approximate, not fault-record RPM"
source_covariance,external_dual_three_phase_flt1zu_load_10nm,10,1,u,8,1,True,7.0,33.0,36.0,1969.545166015625,2214.051513671875,2647.8564453125,"matching-load healthy record; approximate, not fault-record RPM"
source_covariance,external_dual_three_phase_flt1zu_load_15nm,15,1,u,8,1,True,7.0,33.0,36.0,1968.6845703125,2214.037109375,2649.14404296875,"matching-load healthy record; approximate, not fault-record RPM"
source_covariance,external_dual_three_phase_flt1zu_load_20nm,20,1,u,8,1,True,7.0,33.0,36.0,1969.443115234375,2213.7862548828125,2648.7138671875,"matching-load healthy record; approximate, not fault-record RPM"
