method,population,record_id,load_nm,fault_turns,records_blocks,spearman_block_score,naive_p_value
entity_balanced_covariance,fault,external_dual_three_phase_flt4zv_load_25nm,25,4,8,0.9285714285714287,0.0008629681828999767
entity_balanced_covariance,fault,external_dual_three_phase_flt4zv_load_30nm,30,4,8,0.9285714285714287,0.0008629681828999767
entity_balanced_covariance,fault,external_dual_three_phase_flt4zv_load_35nm,35,4,8,0.8571428571428572,0.0065300172547152905
entity_balanced_covariance,fault,external_dual_three_phase_flt4zv_load_5nm,5,4,8,1.0,0.0
entity_balanced_covariance,fault,external_dual_three_phase_flt5zu_load_0nm,0,5,8,1.0,0.0
entity_balanced_covariance,fault,external_dual_three_phase_flt5zu_load_10nm,10,5,8,0.9761904761904763,3.314396026200098e-05
entity_balanced_covariance,fault,external_dual_three_phase_flt5zu_load_15nm,15,5,8,0.9285714285714287,0.0008629681828999767
entity_balanced_covariance,fault,external_dual_three_phase_flt5zu_load_20nm,20,5,8,0.9285714285714287,0.0008629681828999767
entity_balanced_covariance,fault,external_dual_three_phase_flt5zu_load_25nm,25,5,8,0.8571428571428572,0.0065300172547152905
entity_balanced_covariance,fault,external_dual_three_phase_flt5zu_load_30nm,30,5,8,0.8571428571428572,0.0065300172547152905
entity_balanced_covariance,fault,external_dual_three_phase_flt5zu_load_35nm,35,5,8,0.8571428571428572,0.0065300172547152905
entity_balanced_covariance,fault,external_dual_three_phase_flt5zu_load_5nm,5,5,8,0.9761904761904763,3.314396026200098e-05
entity_balanced_covariance,fault,external_dual_three_phase_flt6zu_load_0nm,0,6,8,0.9047619047619048,0.002008275505429469
entity_balanced_covariance,fault,external_dual_three_phase_flt6zu_load_10nm,10,6,8,0.9761904761904763,3.314396026200098e-05
entity_balanced_covariance,fault,external_dual_three_phase_flt6zu_load_15nm,15,6,8,0.9285714285714287,0.0008629681828999767
entity_balanced_covariance,fault,external_dual_three_phase_flt6zu_load_20nm,20,6,8,0.9285714285714287,0.0008629681828999767
entity_balanced_covariance,fault,external_dual_three_phase_flt6zu_load_25nm,25,6,8,0.8571428571428572,0.0065300172547152905
entity_balanced_covariance,fault,external_dual_three_phase_flt6zu_load_30nm,30,6,8,0.8571428571428572,0.0065300172547152905
entity_balanced_covariance,fault,external_dual_three_phase_flt6zu_load_35nm,35,6,8,0.8571428571428572,0.0065300172547152905
entity_balanced_covariance,fault,external_dual_three_phase_flt6zu_load_5nm,5,6,8,1.0,0.0
log_euclidean_entity_covariance,healthy_test,external_dual_three_phase_flt0z_load_15nm,15,0,8,0.8333333333333335,0.010175540123456752
log_euclidean_entity_covariance,healthy_test,external_dual_three_phase_flt0z_load_25nm,25,0,8,0.8571428571428572,0.0065300172547152905
log_euclidean_entity_covariance,healthy_test,external_dual_three_phase_flt0z_load_35nm,35,0,8,0.8333333333333335,0.010175540123456752
log_euclidean_entity_covariance,healthy_test,external_dual_three_phase_flt0z_load_5nm,5,0,8,0.8333333333333335,0.010175540123456752
log_euclidean_entity_covariance,fault,external_dual_three_phase_flt1zu_load_0nm,0,1,8,0.8333333333333335,0.010175540123456752
log_euclidean_entity_covariance,fault,external_dual_three_phase_flt1zu_load_10nm,10,1,8,0.8333333333333335,0.010175540123456752
