method_a,method_b,paired_fault_records,method_a_detection,method_b_detection,method_a_minus_b_detection,bootstrap_ci_lower,bootstrap_ci_upper,centered_bootstrap_two_sided_p,records_method_a_better,records_tied,records_method_b_better,method_a_health_false_alarms,method_b_health_false_alarms,bootstrap_unit,bootstrap_strata,bootstrap_iterations,bootstrap_seed,independent_external_motors,cross_motor_inference_valid,family,target_only_method,source_target_method,difference_direction,pair_type,holm_adjusted_p,holm_family_size,reject_equal_mean_at_familywise_0p05
target_min_cov_det,source_target_min_cov_det,48,0.7005208333333334,0.3020833333333333,0.3984375,0.3541666666666667,0.4427083333333333,9.999000099990002e-05,42,6,0,0,1,complete fault record,fault_turns (6 strata x 8 load records),10000,711,1,False,min_cov_det,target_min_cov_det,source_target_min_cov_det,target-only minus source+target,same estimator; target-only minus source+target,0.0004999500049995,5,True
target_sample_covariance,log_euclidean_entity_covariance,48,0.5598958333333334,0.25,0.3098958333333333,0.28125,0.34375,9.999000099990002e-05,48,0,0,1,1,complete fault record,fault_turns (6 strata x 8 load records),10000,711,1,False,sample_vs_log_euclidean_entity_covariance,target_sample_covariance,log_euclidean_entity_covariance,target-only minus source+target,closest covariance transfer contrast; matrix aggregation differs,0.0004999500049995,5,True
target_sample_covariance,entity_balanced_covariance,48,0.5598958333333334,0.2734375,0.2864583333333333,0.2578125,0.3203125,9.999000099990002e-05,47,1,0,1,1,complete fault record,fault_turns (6 strata x 8 load records),10000,711,1,False,sample_vs_arithmetic_entity_covariance,target_sample_covariance,entity_balanced_covariance,target-only minus source+target,closest covariance transfer contrast; matrix aggregation differs,0.0004999500049995,5,True
target_isolation_forest,source_target_isolation_forest,48,0.5989583333333334,0.5052083333333334,0.09375,0.07291666666666667,0.11458333333333333,9.999000099990002e-05,32,15,1,3,2,complete fault record,fault_turns (6 strata x 8 load records),10000,711,1,False,isolation_forest,target_isolation_forest,source_target_isolation_forest,target-only minus source+target,same estimator; target-only minus source+target,0.0004999500049995,5,True
target_ocsvm_rbf,source_target_ocsvm_rbf,48,0.12760416666666666,0.12760416666666666,0.0,-0.010416666666666666,0.010416666666666666,1.0,2,44,2,1,1,complete fault record,fault_turns (6 strata x 8 load records),10000,711,1,False,ocsvm,target_ocsvm_rbf,source_target_ocsvm_rbf,target-only minus source+target,same estimator; target-only minus source+target,1.0,5,False
