method,healthy_records,healthy_test_blocks,false_alarms,pooled_block_false_alarm_rate,descriptive_block_wilson_lower,descriptive_block_wilson_upper,wilson_independent_block_assumption_valid,max_motor_false_alarm_rate,h1_empirical_pass,fault_records,fault_record_macro_detection_rate,record_bootstrap_detection_ci_lower,record_bootstrap_detection_ci_upper,record_bootstrap_conditional_on_observed_motors,fault_record_any_alarm_rate,mean_fold_detection_rate,worst_motor_detection_rate,mean_block_auroc
source_target_isolation_forest,3,42,0,0.0,0.0,0.08379879086570388,False,0.0,True,42,0.9607142857142857,0.9077380952380952,0.9952380952380954,True,1.0,0.9607142857142857,0.9071428571428571,0.9954081632653061
source_target_min_cov_det,3,42,1,0.023809523809523808,0.004215404134432499,0.12321201573766641,False,0.07142857142857142,False,42,0.9232142857142859,0.8648809523809524,0.9720238095238096,True,1.0,0.9232142857142858,0.8732142857142857,0.9895833333333334
source_target_ocsvm_rbf,3,42,0,0.0,0.0,0.08379879086570388,False,0.0,True,42,0.9125000000000001,0.8363095238095238,0.9755952380952382,True,1.0,0.9125000000000001,0.8285714285714286,0.9965986394557822
target_isolation_forest,3,42,1,0.023809523809523808,0.004215404134432499,0.12321201573766641,False,0.07142857142857142,False,42,0.9755952380952382,0.9363095238095239,1.0,True,1.0,0.9755952380952381,0.9535714285714286,0.9942176870748298
target_min_cov_det,3,42,1,0.023809523809523808,0.004215404134432499,0.12321201573766641,False,0.07142857142857142,False,42,0.898214285714286,0.8226190476190476,0.961904761904762,True,1.0,0.8982142857142857,0.8410714285714286,0.996641156462585
target_ocsvm_rbf,3,42,0,0.0,0.0,0.08379879086570388,False,0.0,True,42,0.8970238095238094,0.8178422619047618,0.9636904761904762,True,1.0,0.8970238095238096,0.8267857142857142,0.9978741496598639
