method,seeds,far_min,far_max,detection_mean,detection_sd,detection_min,detection_max,worst_motor_min,worst_motor_max
source_target_isolation_forest,5,0.0,0.047619047619047616,0.9629761904761904,0.003298070280284546,0.9601190476190476,0.9684523809523811,0.8857142857142857,0.9303571428571429
source_target_min_cov_det,5,0.0,0.09523809523809523,0.9003571428571429,0.035431919484658944,0.844642857142857,0.9261904761904761,0.7107142857142857,0.8732142857142857
target_isolation_forest,5,0.0,0.023809523809523808,0.9705952380952381,0.004345645773439078,0.9648809523809524,0.9755952380952382,0.9357142857142857,0.9535714285714286
target_min_cov_det,5,0.0,0.14285714285714285,0.9329761904761906,0.026266798965445974,0.898214285714286,0.9690476190476192,0.8035714285714286,0.9232142857142858
