method,seeds,primary_detection_rate,detection_mean,detection_sd,detection_min,detection_max,detection_range,max_abs_detection_change_from_primary,primary_false_alarms,false_alarms_min,false_alarms_max,far_min,far_max,h1_pass_seeds,threshold_min,threshold_max,block_auroc_min,block_auroc_max,formal_stability_gate_predeclared
target_isolation_forest,5,0.5989583333333334,0.5697916666666667,0.034222753127082305,0.5130208333333334,0.5989583333333334,0.0859375,0.0859375,3,1,3,0.03125,0.09375,0,0.5628582083512773,0.569218190283984,0.8370768229166666,0.890625,False
source_target_isolation_forest,5,0.5052083333333334,0.5078125000000001,0.020339191864340248,0.4791666666666667,0.5364583333333334,0.057291666666666685,0.03125,2,0,3,0.0,0.09375,2,0.5786606847118789,0.5935316490446928,0.8062337239583333,0.85302734375,False
target_min_cov_det,5,0.7005208333333334,0.7140625,0.05114387088903117,0.6536458333333334,0.7708333333333334,0.1171875,0.0703125,0,0,2,0.0,0.0625,3,934.1730859898199,1396.2563552820322,0.921875,0.9352213541666666,False
source_target_min_cov_det,5,0.3020833333333333,0.31666666666666665,0.015251615067027434,0.3020833333333333,0.3385416666666667,0.03645833333333337,0.03645833333333337,1,1,1,0.03125,0.03125,0,8857.359329237519,9802.524118036708,0.6795247395833334,0.7320149739583334,False
