feature,feature_family,population,independent_motors,record_subsystem_block_units,spearman_raw_vs_speed_proxy,spearman_robust_z_vs_speed_proxy,speed_proxy,inferential_p_value_claimed
harmonic_2_ratio_mean,harmonic_sideband,healthy_adaptation,1,8,-0.7807200583588266,-0.7807200583588266,fundamental_hz (electrical-frequency proxy),False
harmonic_2_ratio_mean,harmonic_sideband,healthy_all,1,128,0.02787828441933218,0.003503482297022967,fundamental_hz (electrical-frequency proxy),False
harmonic_2_ratio_mean,harmonic_sideband,healthy_calibration,1,48,0.05309261039868636,0.03321019251275854,fundamental_hz (electrical-frequency proxy),False
harmonic_2_ratio_mean,harmonic_sideband,healthy_health_test,1,64,0.03916768894313595,0.015344518138899142,fundamental_hz (electrical-frequency proxy),False
harmonic_2_ratio_mean,harmonic_sideband,healthy_unused,1,8,0.7395161835775298,0.7395161835775298,fundamental_hz (electrical-frequency proxy),False
harmonic_3_ratio_max,harmonic_sideband,fault,1,768,0.5090698640055688,0.5492451407397066,fundamental_hz (electrical-frequency proxy),False
harmonic_3_ratio_max,harmonic_sideband,healthy_adaptation,1,8,-0.43915503282683993,-0.6831300510639734,fundamental_hz (electrical-frequency proxy),False
harmonic_3_ratio_max,harmonic_sideband,healthy_all,1,128,-0.21119555065214884,-0.17884442963850575,fundamental_hz (electrical-frequency proxy),False
harmonic_3_ratio_max,harmonic_sideband,healthy_calibration,1,48,-0.3124379953502942,-0.23498396083863035,fundamental_hz (electrical-frequency proxy),False
harmonic_3_ratio_max,harmonic_sideband,healthy_health_test,1,64,-0.22832458672145722,-0.19307366667263487,fundamental_hz (electrical-frequency proxy),False
harmonic_3_ratio_max,harmonic_sideband,healthy_unused,1,8,0.7031465352048644,0.666776886832199,fundamental_hz (electrical-frequency proxy),False
harmonic_3_ratio_mean,harmonic_sideband,fault,1,768,0.5012699310587367,0.5383923850495894,fundamental_hz (electrical-frequency proxy),False
