scope,feature,feature_family,block_id,block_label,independent_motors,healthy_units,fault_units,matched_fault_health_pairs,healthy_raw_mean,fault_raw_mean,raw_hedges_g_fault_minus_health,raw_single_feature_auc_fault_higher,raw_direction_free_auc,matched_raw_difference_mean,matched_raw_difference_median,matched_raw_dz,robust_z_hedges_g_fault_minus_health,robust_z_single_feature_auc_fault_higher,robust_z_direction_free_auc,matched_robust_z_dz,auroc_inferential_claimed
all_matched_loads,clarke_radius_cv,current_shape,-1,all_blocks,1,128,768,768,0.12097091346126544,0.1148020956534061,-0.04670391306474746,0.6123453776041666,0.6123453776041666,-0.0061688178078593255,0.0027456459105150433,-0.05158174137268601,-0.027089126376406036,0.5995686848958334,0.5995686848958334,-0.0298824553939088,False
all_matched_loads,clarke_radius_cv,current_shape,0,0,1,16,96,96,0.11417743232350869,0.06602070125238622,-0.5035333702196841,0.4915364583333333,0.5084635416666667,-0.04815673107112248,-0.0013953532865843936,-0.3754952594997327,-0.4415387095145297,0.49283854166666663,0.5071614583333334,-0.3717332892128567,False
all_matched_loads,clarke_radius_cv,current_shape,1,1,1,16,96,96,0.11205204506119447,0.06859458407293993,-0.470227355271993,0.5618489583333334,0.5618489583333334,-0.04345746098825454,0.0005851564547764108,-0.3275484989014806,-0.41571347784778667,0.5286458333333334,0.5286458333333334,-0.3218335510428003,False
all_matched_loads,clarke_radius_cv,current_shape,2,2,1,16,96,96,0.10535582969860671,0.07920121451721493,-0.2816432451448355,0.6178385416666666,0.6178385416666666,-0.026154615181391797,0.003778479363323352,-0.230842128719316,-0.2502901105653346,0.572265625,0.572265625,-0.21984297089932378,False
all_matched_loads,clarke_radius_cv,current_shape,3,3,1,16,96,96,0.10996386835009189,0.09622958709634351,-0.12686663203942009,0.634765625,0.634765625,-0.01373428125374838,0.005315994340663955,-0.12476845709478696,-0.10448996618267369,0.5944010416666666,0.5944010416666666,-0.10548904047332515,False
all_matched_loads,clarke_radius_cv,current_shape,4,4,1,16,96,96,0.11809753856982744,0.12036267604701305,0.017302570552698935,0.63671875,0.63671875,0.0022651374771856087,0.006226974711850155,0.02201034421884039,0.04169153369446544,0.6106770833333333,0.6106770833333333,0.05300137683768546,False
all_matched_loads,clarke_radius_cv,current_shape,5,5,1,16,96,96,0.13254910400650072,0.1436124937831286,0.07156387390293395,0.6588541666666666,0.6588541666666666,0.011063389776627899,0.010276864404900393,0.09383492738617795,0.09944791900757542,0.6438802083333333,0.6438802083333333,0.12860195542251746,False
all_matched_loads,clarke_radius_cv,current_shape,6,6,1,16,96,96,0.13628647630484952,0.16307011122515472,0.16434472698469602,0.6731770833333333,0.6731770833333333,0.02678363492030521,0.012942714671164826,0.24105310585573694,0.19833528113686222,0.669921875,0.669921875,0.2782286706837023,False
all_matched_loads,clarke_radius_cv,current_shape,7,7,1,16,96,96,0.13928501337554405,0.18132539723306787,0.2630626263217466,0.6901041666666666,0.6901041666666666,0.042040383857523865,0.01839640609724263,0.38115261077734924,0.3088813615793548,0.7076822916666666,0.7076822916666666,0.41060324895807715,False
all_matched_loads,crest_a,current_shape,-1,all_blocks,1,128,768,768,2.056160467903372,1.7057073627534838,-0.6095452705206317,0.40964762369791663,0.5903523763020834,-0.35045310514988764,-0.03627003062553724,-0.40793133798850545,-0.5098415364404476,0.4496663411458333,0.5503336588541667,-0.419204925300898,False
all_matched_loads,crest_a,current_shape,0,0,1,16,96,96,1.974400827600733,1.664915362857883,-0.5676122908955229,0.3919270833333333,0.6080729166666667,-0.30948546474284994,-0.03309260052083618,-0.4168568310025155,-0.4651398967086615,0.43815104166666663,0.5618489583333334,-0.4169688151423401,False
all_matched_loads,crest_a,current_shape,1,1,1,16,96,96,1.9705654663093406,1.6496301058342973,-0.6409319883789383,0.380859375,0.619140625,-0.3209353604750436,-0.035454721991143634,-0.40351838169681425,-0.516522324867404,0.43554687499999994,0.564453125,-0.42079253575924314,False
all_matched_loads,crest_a,current_shape,2,2,1,16,96,96,2.073227088146273,1.6692464833183027,-0.6843656807034738,0.4427083333333333,0.5572916666666667,-0.40398060482797066,-0.029999846282981135,-0.3854696466474055,-0.5776773808445645,0.46484375,0.53515625,-0.392861463740567,False
all_matched_loads,crest_a,current_shape,3,3,1,16,96,96,2.089890826125807,1.6865052611849924,-0.6674017650531243,0.44921875,0.55078125,-0.4033855649408143,-0.024156739716324482,-0.38079619324010217,-0.5582081133991429,0.4654947916666667,0.5345052083333333,-0.40197894555441877,False
all_matched_loads,crest_a,current_shape,4,4,1,16,96,96,2.0782069349487875,1.707452757685141,-0.6363138652212328,0.4186197916666667,0.5813802083333333,-0.37075417726364623,-0.02857941182519652,-0.40172080604243593,-0.5395587366335833,0.4537760416666667,0.5462239583333333,-0.41734890646081607,False
