record_id,load_nm,subsystem,block_id,window_id,is_healthy,fault_turns,fault_phase,role,row_index,window_score,frozen_system_score,contribution_sum,contribution_sum_error,frozen_score_error,alarm,p_value,external_motor_id
external_dual_three_phase_flt0z_load_20nm,20.0,SubSys2,2,44,True,0,,calibration,1124,402.76543624129636,402.7654362412964,402.76543624129636,0.0,-5.684341886080802e-14,False,0.88,external_dual_three_phase
external_dual_three_phase_flt0z_load_20nm,20.0,SubSys2,3,59,True,0,,calibration,1139,514.9086115769259,514.9086115769259,514.9086115769283,2.3874235921539366e-12,0.0,False,0.72,external_dual_three_phase
external_dual_three_phase_flt0z_load_20nm,20.0,SubSys2,4,74,True,0,,calibration,1154,826.5963494744433,826.5963494744433,826.5963494744453,2.0463630789890885e-12,0.0,False,0.44,external_dual_three_phase
external_dual_three_phase_flt0z_load_20nm,20.0,SubSys2,5,89,True,0,,calibration,1169,1397.146358020476,1397.146358020476,1397.146358020473,-3.183231456205249e-12,0.0,False,0.36,external_dual_three_phase
external_dual_three_phase_flt0z_load_20nm,20.0,SubSys2,6,104,True,0,,calibration,1184,2631.193070844946,2631.193070844946,2631.193070844946,0.0,0.0,False,0.24,external_dual_three_phase
external_dual_three_phase_flt0z_load_20nm,20.0,SubSys1,7,119,True,0,,calibration,1079,4962.373418924896,4962.373418924896,4962.373418924879,-1.7280399333685637e-11,0.0,False,0.12,external_dual_three_phase
external_dual_three_phase_flt0z_load_25nm,25.0,SubSys2,0,1,True,0,,health_test,1321,637.0698823963513,637.0698823963513,637.0698823963517,3.410605131648481e-13,0.0,False,0.56,external_dual_three_phase
external_dual_three_phase_flt0z_load_25nm,25.0,SubSys2,1,15,True,0,,health_test,1335,409.8290461681975,409.8290461681975,409.82904616819786,3.410605131648481e-13,0.0,False,0.84,external_dual_three_phase
external_dual_three_phase_flt0z_load_25nm,25.0,SubSys2,2,41,True,0,,health_test,1361,411.44368666156697,411.44368666156697,411.4436866615672,2.2737367544323206e-13,0.0,False,0.84,external_dual_three_phase
external_dual_three_phase_flt0z_load_25nm,25.0,SubSys2,3,59,True,0,,health_test,1379,521.4878584141371,521.4878584141371,521.4878584141364,-6.821210263296962e-13,0.0,False,0.68,external_dual_three_phase
external_dual_three_phase_flt0z_load_25nm,25.0,SubSys2,4,74,True,0,,health_test,1394,829.7054812342601,829.7054812342601,829.705481234261,9.094947017729282e-13,0.0,False,0.4,external_dual_three_phase
external_dual_three_phase_flt0z_load_25nm,25.0,SubSys2,5,89,True,0,,health_test,1409,1415.1354392237802,1415.1354392237802,1415.1354392237772,-2.9558577807620168e-12,0.0,False,0.32,external_dual_three_phase
external_dual_three_phase_flt0z_load_25nm,25.0,SubSys2,6,104,True,0,,health_test,1424,2644.3276519392903,2644.3276519392903,2644.32765193929,-4.547473508864641e-13,0.0,False,0.2,external_dual_three_phase
external_dual_three_phase_flt0z_load_25nm,25.0,SubSys1,7,119,True,0,,health_test,1319,4973.666708083695,4973.666708083695,4973.666708083685,-1.000444171950221e-11,0.0,False,0.08,external_dual_three_phase
external_dual_three_phase_flt0z_load_30nm,30.0,SubSys2,0,2,True,0,,calibration,1562,665.7329559303643,665.7329559303643,665.732955930364,-2.2737367544323206e-13,0.0,False,0.56,external_dual_three_phase
external_dual_three_phase_flt0z_load_30nm,30.0,SubSys2,1,16,True,0,,calibration,1576,415.4712346358153,415.4712346358153,415.47123463581573,4.547473508864641e-13,0.0,False,0.84,external_dual_three_phase
external_dual_three_phase_flt0z_load_30nm,30.0,SubSys2,2,44,True,0,,calibration,1604,416.02008938343556,416.0200893834356,416.0200893834357,1.1368683772161603e-13,-5.684341886080802e-14,False,0.8,external_dual_three_phase
external_dual_three_phase_flt0z_load_30nm,30.0,SubSys2,3,59,True,0,,calibration,1619,532.6358142875971,532.6358142875971,532.635814287598,9.094947017729282e-13,0.0,False,0.68,external_dual_three_phase
external_dual_three_phase_flt0z_load_30nm,30.0,SubSys2,4,74,True,0,,calibration,1634,822.0431399995081,822.0431399995081,822.0431399995091,1.0231815394945443e-12,0.0,False,0.48,external_dual_three_phase
external_dual_three_phase_flt0z_load_30nm,30.0,SubSys2,5,89,True,0,,calibration,1649,1418.9955119461233,1418.995511946123,1418.995511946123,-2.2737367544323206e-13,2.2737367544323206e-13,False,0.32,external_dual_three_phase
external_dual_three_phase_flt0z_load_30nm,30.0,SubSys2,6,104,True,0,,calibration,1664,2654.861419120546,2654.861419120546,2654.8614191205425,-3.637978807091713e-12,0.0,False,0.2,external_dual_three_phase
external_dual_three_phase_flt0z_load_30nm,30.0,SubSys2,7,119,True,0,,calibration,1679,4983.287627092597,4983.287627092597,4983.287627092627,3.001332515850663e-11,0.0,False,0.08,external_dual_three_phase
external_dual_three_phase_flt0z_load_35nm,35.0,SubSys2,0,1,True,0,,health_test,1801,639.6083989051078,639.6083989051078,639.6083989051081,2.2737367544323206e-13,0.0,False,0.56,external_dual_three_phase
