block_seconds,aggregation,is_predeclared_primary,calibration_blocks_per_motor,healthy_test_blocks_pooled,false_alarms_pooled,pooled_false_alarm_rate,pooled_far_wilson_lower_descriptive,pooled_far_wilson_upper_descriptive,mean_motor_false_alarm_rate,max_motor_false_alarm_rate,mean_motor_block_detection_rate,worst_motor_block_detection_rate,mean_motor_record_balanced_detection_rate,fault_records_with_any_alarm,fault_records,mean_motor_block_auroc,block_counts_are_independent_repetitions,wilson_interval_is_descriptive_only
1.0,max,False,60,138,2,0.014492753623188406,0.003983475402945181,0.0512997886433358,0.014492753623188406,0.043478260869565216,0.9361111111111112,0.893452380952381,0.9361111111111112,42,42,0.9940217391304348,False,True
1.0,q90,False,60,138,2,0.014492753623188406,0.003983475402945181,0.0512997886433358,0.014492753623188406,0.043478260869565216,0.9361111111111112,0.893452380952381,0.9361111111111112,42,42,0.9940217391304348,False,True
2.0,max,False,30,66,0,0.0,3.469446951953614e-18,0.05500255701354127,0.0,0.0,0.9373015873015872,0.8809523809523809,0.9373015873015872,42,42,0.9972402597402598,False,True
2.0,q90,False,30,66,0,0.0,3.469446951953614e-18,0.05500255701354127,0.0,0.0,0.9373015873015872,0.8809523809523809,0.9373015873015872,42,42,0.9972402597402598,False,True
3.0,max,True,20,42,0,0.0,0.0,0.08379879086570388,0.0,0.0,0.9571428571428572,0.9,0.9571428571428572,42,42,0.9993197278911564,False,True
3.0,q90,False,20,42,1,0.023809523809523808,0.004215404134432499,0.12321201573766641,0.023809523809523808,0.07142857142857142,0.9732142857142857,0.9267857142857143,0.9732142857142857,42,42,0.9994472789115646,False,True
