subset,feature,windows,native_median,polyphase_10khz_median,median_signed_delta,median_absolute_delta,native_iqr,median_absolute_delta_per_native_iqr,root_mean_squared_delta,pearson_correlation,spearman_correlation
all_source_windows,fundamental_hz,27000,200.00000000000057,200.0,-5.684341886080801e-13,5.684341886080801e-13,0.0,,5.684341886080801e-13,,
all_source_windows,sequence_unbalance,27000,0.5570865150407203,0.5570866810861577,-2.211635033739362e-07,2.4296025455949888e-06,0.5311045764240645,4.574621747666987e-06,5.034719633753949e-06,0.9999999997979301,0.9999999802365491
all_source_windows,fundamental_amplitude_cv,27000,0.06095244589317965,0.06095272792273165,-3.439815956518544e-07,1.8956851048999163e-06,0.05059143830954567,3.747047263809923e-05,4.7606855610043525e-06,0.9999999878225099,0.9999999717866178
all_source_windows,phase_rms_cv,27000,0.05926186945757745,0.06179902787810175,0.0034754409690314,0.0034770151725160986,0.04166333466772287,0.08345503787073931,0.010103426259485999,0.9669606748524046,0.9639895739228633
all_source_windows,clarke_radius_cv,27000,0.4517383228332429,0.38302123652643627,-0.0940903501228014,0.0940903501228014,0.260725854600215,0.36087848006894135,0.12463629070470025,0.9385691772376443,0.9439225347506938
all_source_windows,zero_sequence_ratio,27000,0.6440516941746088,0.6419809433504058,-0.0002800480804279748,0.006862648369370339,0.5774829273113642,0.011883725119496343,0.023552898771232615,0.9980206936373922,0.8478013553041017
all_source_windows,spectral_entropy,27000,0.16055615415544924,0.16062978952213292,5.539397111439803e-05,5.540224096430013e-05,0.026311756716784263,0.002105607830014598,0.00014763656522803973,0.9999961041949798,0.9999805273293437
all_source_windows,sideband_lower_ratio,27000,0.00628846624958125,0.00628734648139225,-1.1394472399501969e-06,2.9827120438001217e-06,0.004458266481396151,0.0006690295558254866,4.939531803517403e-06,0.9999995590889187,0.9999990441566821
all_source_windows,sideband_upper_ratio,27000,0.0060033527698254,0.0060036126101209,1.797249469350122e-06,2.8684677464497e-06,0.005407135189075726,0.0005304967688333356,5.668416141427239e-06,0.9999996465624302,0.9999993407053793
all_source_windows,harmonic_2_ratio_mean,27000,0.02167796687084915,0.021692171846224448,1.6093107477150453e-05,1.6093107477150453e-05,0.01934393318744698,0.0008319459812647558,2.2746910945457235e-05,0.9999996531299364,0.9999995331620173
all_source_windows,harmonic_2_ratio_max,27000,0.0287339267731182,0.028756456519658448,2.2305530715598446e-05,2.2305530715598446e-05,0.0280786978702547,0.000794393344686682,3.1642805628033367e-05,0.99999978119051,0.9999995963603103
all_source_windows,harmonic_3_ratio_mean,27000,0.0107834998714901,0.010792833935841649,8.153992181299252e-06,8.167131748148745e-06,0.008689908434464873,0.0009398409442103263,1.1896494893192356e-05,0.9999998845834595,0.999999847250114
all_source_windows,harmonic_3_ratio_max,27000,0.0166619004991032,0.016673959023110002,1.2261946747401352e-05,1.2285983996651421e-05,0.012797437730057273,0.0009600346769256315,1.7207903985674453e-05,0.9999998711895948,0.9999998351739061
all_source_windows,harmonic_4_ratio_mean,27000,0.019199007672336697,0.0191980332641528,-1.8567964668999778e-06,4.088225050349198e-06,0.0107324914360791,0.0003809204111364051,6.434210927726142e-06,0.9999996825896698,0.9999996171388502
all_source_windows,harmonic_4_ratio_max,27000,0.02432194458925025,0.024318079803715448,-2.6438642591998865e-06,5.160954619047586e-06,0.015154174700969025,0.00034056322570423926,7.970478874099307e-06,0.9999997466403312,0.9999995950556311
all_source_windows,harmonic_5_ratio_mean,27000,0.03261309093108335,0.0325969734687918,-1.5890948973499783e-05,1.592098905440261e-05,0.0153029246668503,0.00104038864472039,1.6043377310819204e-05,0.9999998823513909,0.999999821210181
all_source_windows,harmonic_5_ratio_max,27000,0.0361439818173824,0.03612652432901285,-1.7403827555398377e-05,1.7473395600101777e-05,0.011402122977890498,0.0015324686143083962,1.8169445561334578e-05,0.9999997773428949,0.9999996571638465
all_source_windows,thd_2_to_5_mean,27000,0.048786369513942704,0.048786411303918004,-3.5502200300997766e-06,1.0158563653904495e-05,0.012998484797752174,0.0007815190625649856,1.6337731815102694e-05,0.999999103206303,0.9999989912360905
